Country,Province,City,Job_Title,Low_Salary_Yearly,Median_Salary_Yearly,Max_Salary_Yearly,Currency,Year,Cost_of_Living_Yearly
Canada,AB,Athabasca--Grande Prairie--Peace River,Medical laboratory technicians and pathologists' assistants,23000,27000,44000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Animal health technologists and veterinary technicians,15000,23000,27000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",34000,40000,50000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Medical radiation technologists,33500,42000,47300,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Medical sonographers,42060,45170,47450,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Other medical technologists and technicians (except dental health),15000,25000,37300,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Denturists,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Dental hygienists and dental therapists,40000,50000,60730,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Dental technologists, technicians and laboratory assistants",19000,28000,35000,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Opticians,19500,24040,35580,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Practitioners of natural healing,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Licensed practical nurses,22000,28000,31360,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Paramedical occupations,20190,35500,45000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Massage therapists,15000,24040,50000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Other technical occupations in therapy and assessment,15000,25460,36000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Dental assistants,22000,30000,42070,CAD,2016-2017,28000
